Pair,Distance
"(0, 0)",0
"(0, 1)",1.716972347
"(1, 0)",1.716972347
"(0, 2)",2.271111005
"(2, 0)",2.271111005
"(0, 3)",2.316843911
"(3, 0)",2.316843911
"(0, 4)",3.567788008
"(4, 0)",3.567788008
"(0, 5)",4.134726908
"(5, 0)",4.134726908
"(0, 6)",1.592014639
"(6, 0)",1.592014639
"(0, 7)",7.002043388
"(7, 0)",7.002043388
"(0, 8)",5.350936367
"(8, 0)",5.350936367
"(0, 9)",7.173976743
"(9, 0)",7.173976743
"(1, 1)",0
"(1, 2)",3.981310408
"(2, 1)",3.981310408
"(1, 3)",1.049122796
"(3, 1)",1.049122796
"(1, 4)",4.444853174
"(4, 1)",4.444853174
"(1, 5)",5.011729938
"(5, 1)",5.011729938
"(1, 6)",2.437141336
"(6, 1)",2.437141336
"(1, 7)",8.023701586
"(7, 1)",8.023701586
"(1, 8)",6.83358971
"(8, 1)",6.83358971
"(1, 9)",8.690867629
"(9, 1)",8.690867629
"(2, 2)",0
"(2, 3)",3.321165858
"(3, 2)",3.321165858
"(2, 4)",4.61442532
"(4, 2)",4.61442532
"(2, 5)",6.656188289
"(5, 2)",6.656188289
"(2, 6)",3.507142198
"(6, 2)",3.507142198
"(2, 7)",8.91710881
"(7, 2)",8.91710881
"(2, 8)",7.266063926
"(8, 2)",7.266063926
"(2, 9)",6.110376003
"(9, 2)",6.110376003
"(3, 3)",0
"(3, 4)",5.092570305
"(4, 3)",5.092570305
"(3, 5)",5.659509205
"(5, 3)",5.659509205
"(3, 6)",3.065658103
"(6, 3)",3.065658103
"(3, 7)",8.567960445
"(7, 3)",8.567960445
"(3, 8)",7.377910706
"(8, 3)",7.377910706
"(3, 9)",7.642241929
"(9, 3)",7.642241929
"(4, 4)",0
"(4, 5)",0.849662705
"(5, 4)",0.849662705
"(4, 6)",3.596371074
"(6, 4)",3.596371074
"(4, 7)",9.912048055
"(7, 4)",9.912048055
"(4, 8)",7.08984311
"(8, 4)",7.08984311
"(4, 9)",9.870105512
"(9, 4)",9.870105512
"(5, 5)",0
"(5, 6)",4.072589808
"(6, 5)",4.072589808
"(5, 7)",9.669526954
"(7, 5)",9.669526954
"(5, 8)",6.847384146
"(8, 5)",6.847384146
"(5, 9)",12.73114614
"(9, 5)",12.73114614
"(6, 6)",0
"(6, 7)",5.776264816
"(7, 6)",5.776264816
"(6, 8)",4.125219932
"(8, 6)",4.125219932
"(6, 9)",8.394162976
"(9, 6)",8.394162976
"(7, 7)",0
"(7, 8)",2.362825365
"(8, 7)",2.362825365
"(7, 9)",15.66998243
"(9, 7)",15.66998243
"(8, 8)",0
"(8, 9)",14.27835993
"(9, 8)",14.27835993
"(9, 9)",0
"(10, 1)",18.19790607
"(1, 10)",18.19790607
"(10, 2)",22.32405805
"(2, 10)",22.32405805
