row,test,speed,weight,avgWatts
31,300 foot into the wind,30,0,707.1989035
32,.25 mile into the wind,30,0,900.4979913
50,.25 mile into wind,30,0,973.2653993
77,Ascent - 400 ft box,30,0,697.4127492
78,.25 mile into wind,15,0,697.1606519
79,.25 mile 30 mph,30,0,692.7212194
83,300 ft hover,30,0,981.617381
86,150 foot hover,30,0,955.3193888
105,0.5 mile,30,0,793.664288
88,150 ft hover,30,2.5,1160.555765
89,200 ft hover,30,2.5,1104.471857
90,300 ft hover,30,2.5,1181.743681
91,.25 mile ,15,2.5,1146.684768
92,.25 mile ,30,2.5,1178.894089
96,Ascent - 400 ft box,30,2.5,1153.935863
97,Turn box - no curve,30,2.5,1160.422591
100,Turn box - max curve - 200-300,30,2.5,1224.532969
33,.25 into wind  5 lb,30,5,1356.270781
37,200 ft hover,30,5,1422.726342
38,300 ft hover,30,5,1389.238671
39,.25 mile into the wind,30,5,1368.134214
110,1800 straight,30,5,1306.811259
52,200 ft hover - 10 lb,30,10,1738.253872
53,150 ft hover - 10 lb,30,10,1752.850782
54,300 ft hover - 10 lb,30,10,1788.336483
55,0.25 mile  - 10 lb,30,10,1722.894053
57,Turn box - full stop,30,10,1836.350098
58,Turn box - 50 ft curve,30,10,1790.717497
59,Turn box - 150 ft curve,30,10,1763.256783
64,Ascent - 400 ft box,30,10,1708.864617
67,Ascent - 400 ft box,15,10,1501.963536
68,.25 mile into wind,15,10,1500.449449
106,0.5 mile,30,10,1532.292113
