row,test,speed,weight,avgWatts
31,300 foot into the wind,30,0,966.6764411
32,.25 mile into the wind,30,0,1060.997625
50,.25 mile into wind,30,0,1129.402521
77,Ascent - 400 ft box,30,0,989.7975316
78,.25 mile into wind,15,0,977.0092131
79,.25 mile 30 mph,30,0,903.5624511
82,200 ft hover,30,0,1039.254162
83,300 ft hover,30,0,1072.934387
84,.25 mile,30,0,979.0308276
85,.25 mile,15,0,970.7339664
86,150 foot hover,30,0,981.2895704
105,0.5 mile,30,0,1113.013071
88,150 ft hover,30,2.5,1211.665763
89,200 ft hover,30,2.5,1211.63075
90,300 ft hover,30,2.5,1218.667253
91,.25 mile ,15,2.5,1244.736505
92,.25 mile ,30,2.5,1295.487777
96,Ascent - 400 ft box,30,2.5,1264.014786
97,Turn box - no curve,30,2.5,1336.445503
98,Turn box - 50ft curve,30,2.5,1137.378684
99,Turn box - 150ft curve,30,2.5,1157.404421
100,Turn box - max curve - 200-300,30,2.5,1216.77937
101,1800 straight,30,2.5,1259.467049
103,.25 mile,15,2.5,1227.060984
70,.25 mile - 5 lb - 15 mph,15,5,1257.941897
71,Ascent - 400 ft box,30,5,1341.014779
33,.25 into wind  5 lb,30,5,1337.43306
37,200 ft hover,30,5,1406.618184
38,300 ft hover,30,5,1406.079481
39,.25 mile into the wind,30,5,1486.270906
42,Turn box - full stop,30,5,1556.057477
43,Turn box - 50 ft curve,30,5,1372.039724
107,0.5 mile - short,30,5,1384.8809
109,0.5 mile,30,5,1383.620886
110,1800 straight,30,5,1489.925831
111,Turn Box - max curve - 200-300,30,5,1389.087537
112,Turn Box - no curve,30,5,1419.57376
52,200 ft hover - 10 lb,30,10,1759.390025
53,150 ft hover - 10 lb,30,10,1841.37528
54,300 ft hover - 10 lb,30,10,1975.458918
55,0.25 mile  - 10 lb,30,10,1967.497282
57,Turn box - full stop,30,10,1978.555489
58,Turn box - 50 ft curve,30,10,1793.128297
59,Turn box - 150 ft curve,30,10,1698.470474
64,Ascent - 400 ft box,30,10,1848.457682
67,Ascent - 400 ft box,15,10,1797.465617
68,.25 mile into wind,15,10,1797.634961
106,0.5 mile,30,10,1852.345833
